證期會代碼,公司簡稱,分類代碼,分類名稱
04745P,FL元大,0999P,認售權證
04746P,FM元大,0999P,認售權證
04747P,FN元大,0999P,認售權證
04748P,元富ML,0999P,認售權證
04749P,康和FQ,0999P,認售權證
04750P,群益9S,0999P,認售權證
04751P,群益AB,0999P,認售權證
04752P,永豐19,0999P,認售權證
04753P,28富邦,0999P,認售權證
04754P,凱基FN,0999P,認售權證
04755P,統一KD,0999P,認售權證
04756P,統一KE,0999P,認售權證
04757P,統一KF,0999P,認售權證
04758P,群益AG,0999P,認售權證
04759P,群益AH,0999P,認售權證
04760P,國泰GM,0999P,認售權證
04761P,FU元大,0999P,認售權證
04762P,FV元大,0999P,認售權證
04763P,GA元大,0999P,認售權證
04764P,GB元大,0999P,認售權證
04765P,GC元大,0999P,認售權證
04766P,國泰GP,0999P,認售權證
04767P,日盛M8,0999P,認售權證
04768P,凱基FZ,0999P,認售權證
04769P,凱基GB,0999P,認售權證
04770P,凱基GC,0999P,認售權證
04771P,凱基GD,0999P,認售權證
04772P,凱基GK,0999P,認售權證
04773P,凱基GM,0999P,認售權證
04774P,兆豐LA,0999P,認售權證
04775P,永豐36,0999P,認售權證
04776P,群益AN,0999P,認售權證
04777P,群益AP,0999P,認售權證
04778P,康和FR,0999P,認售權證
04779P,康和FT,0999P,認售權證
04780P,元富MS,0999P,認售權證
04781P,A7亞東,0999P,認售權證
04782P,36富邦,0999P,認售權證
04783P,37富邦,0999P,認售權證
04784P,38富邦,0999P,認售權證
04785P,中信9T,0999P,認售權證
04786P,GH元大,0999P,認售權證
04787P,群益AQ,0999P,認售權證
04788P,日盛N2,0999P,認售權證
04789P,日盛N3,0999P,認售權證
04790P,凱基GV,0999P,認售權證
04791P,永豐40,0999P,認售權證
04792P,統一KP,0999P,認售權證
04793P,元富MT,0999P,認售權證
04794P,日盛N5,0999P,認售權證
04795P,元富MY,0999P,認售權證
04796P,元富MZ,0999P,認售權證
04797P,元富NA,0999P,認售權證
04798P,元富NB,0999P,認售權證
04799P,GJ元大,0999P,認售權證
04800P,GK元大,0999P,認售權證
04801P,GL元大,0999P,認售權證
04802P,GM元大,0999P,認售權證
04803P,凱基GW,0999P,認售權證
04804P,凱基GX,0999P,認售權證
04805P,凱基GY,0999P,認售權證
04806P,凱基GZ,0999P,認售權證
04807P,凱基HA,0999P,認售權證
04808P,中信9W,0999P,認售權證
04809P,兆豐LK,0999P,認售權證
04810P,兆豐LL,0999P,認售權證
04811P,兆豐LM,0999P,認售權證
04812P,兆豐LN,0999P,認售權證
04813P,兆豐LP,0999P,認售權證
04814P,兆豐LQ,0999P,認售權證
04815P,兆豐LR,0999P,認售權證
04816P,群益AY,0999P,認售權證
04817P,群益AZ,0999P,認售權證
04818P,永豐47,0999P,認售權證
04819P,永豐48,0999P,認售權證
04820P,GW元大,0999P,認售權證
04821P,GX元大,0999P,認售權證
04822P,日盛N9,0999P,認售權證
04823P,凱基HB,0999P,認售權證
04824P,凱基HC,0999P,認售權證
04825P,凱基HD,0999P,認售權證
04826P,凱基HE,0999P,認售權證
04827P,凱基HF,0999P,認售權證
04828P,B4亞東,0999P,認售權證
04829P,48富邦,0999P,認售權證
04830P,統一KT,0999P,認售權證
04831P,統一KU,0999P,認售權證
04832P,統一KV,0999P,認售權證
04833P,統一KW,0999P,認售權證
04834P,元富NC,0999P,認售權證
04835P,元富ND,0999P,認售權證
04836P,元富NE,0999P,認售權證
04837P,工銀NS,0999P,認售權證
04838P,元富NS,0999P,認售權證
04839P,元富NT,0999P,認售權證
04840P,元富NU,0999P,認售權證
04841P,53富邦,0999P,認售權證
04842P,54富邦,0999P,認售權證
04843P,HE元大,0999P,認售權證
04844P,HF元大,0999P,認售權證
04845P,C1亞東,0999P,認售權證
04846P,群益BI,0999P,認售權證
04847P,群益BJ,0999P,認售權證
04848P,群益BK,0999P,認售權證
04849P,群益BL,0999P,認售權證
04850P,群益BM,0999P,認售權證
04851P,兆豐MM,0999P,認售權證
04852P,元富1A,0999P,認售權證
04853P,元富1B,0999P,認售權證
04854P,元富1C,0999P,認售權證
04855P,56富邦,0999P,認售權證
04856P,日盛X7,0999P,認售權證
04857P,日盛X8,0999P,認售權證
04858P,HN元大,0999P,認售權證
04859P,HP元大,0999P,認售權證
04860P,永豐73,0999P,認售權證
04861P,群益BU,0999P,認售權證
04862P,凱基HW,0999P,認售權證
04863P,統一LB,0999P,認售權證
04864P,元富1H,0999P,認售權證
04865P,元富1J,0999P,認售權證
04866P,元富1K,0999P,認售權證
04867P,C7亞東,0999P,認售權證
04868P,C8亞東,0999P,認售權證
04869P,C9亞東,0999P,認售權證
04870P,D1亞東,0999P,認售權證
04871P,D2亞東,0999P,認售權證
04872P,日盛Y1,0999P,認售權證
04873P,日盛Y2,0999P,認售權證
04874P,永豐76,0999P,認售權證
04875P,永豐77,0999P,認售權證
04876P,永豐78,0999P,認售權證
04877P,永豐79,0999P,認售權證
04878P,國票HD,0999P,認售權證
04879P,元富1R,0999P,認售權證
04880P,59富邦,0999P,認售權證
