05498P,33元富
05499P,34元富
05500P,35元富
05501P,36元富
05502P,永豐AD
05503P,群益LW
05504P,群益LX
05505P,群益LY
05506P,BA富邦
05507P,元大DZ
05508P,元大EA
05509P,元大EB
05510P,元大EC
05511P,元大ED
05512P,元大EE
05513P,元大EF
05514P,元大EG
05515P,3H凱基
05516P,3L凱基
05517P,3M凱基
05518P,永豐AI
05519P,永豐AJ
05520P,群益ML
05521P,群益MM
05522P,群益MN
05523P,42元富
05524P,43元富
05525P,44元富
05526P,45元富
05527P,46元富
05528P,47元富
05529P,日盛FN
05530P,日盛FP
05531P,BJ富邦
05532P,永豐AQ
05533P,永豐AR
05534P,元大EX
05535P,元大EY
05536P,元大EZ
05537P,統一4B
05538P,統一4C
05539P,52元富
05540P,53元富
05541P,54元富
05542P,62元富
05543P,63元富
05544P,兆豐9R
05545P,兆豐9S
05546P,兆豐9T
05547P,兆豐9U
05548P,兆豐9V
05549P,兆豐9W
05550P,N6亞東
05551P,群益MV
05552P,群益MX
05553P,群益MY
05554P,群益MZ
05555P,群益NA
05556P,群益NB
05557P,群益NN
05558P,群益NS
05559P,群益NT
05560P,群益NU
05561P,元大FS
05562P,元大FT
05563P,元大FU
05564P,F4中信
05565P,F5中信
05566P,工銀59
05567P,工銀60
05568P,4D凱基
05569P,70元富
05570P,71元富
05571P,BT富邦
05572P,BU富邦
05573P,永豐BD
05574P,永豐BG
05575P,06群益
05576P,08群益
05577P,10群益
05578P,日盛FW
05579P,元大GB
05580P,元大GC
05581P,元大GD
05582P,元大GE
05583P,元大GF
05584P,元大GG
05585P,元大GH
05586P,元大GI
05587P,國泰KR
05588P,康和IZ
05589P,72元富
05590P,73元富
05591P,工銀61
05592P,4S凱基
05593P,4V凱基
05594P,4Y凱基
05595P,元大GW
05596P,元大GX
05597P,元大GY
05598P,CH富邦
05599P,CJ富邦
05600P,5B凱基
05601P,5G凱基
05602P,永豐CJ
05603P,統一4Q
05604P,84元富
05605P,85元富
05606P,86元富
05607P,CN富邦
05608P,CP富邦
05609P,5K凱基
05610P,5Q凱基
05611P,5R凱基
05612P,21群益
05613P,22群益
05614P,23群益
05615P,30群益
05616P,31群益
05617P,33群益
05618P,AF亞東
05619P,AG亞東
05620P,兆豐9X
05621P,兆豐9Y
05622P,日盛GF
05623P,日盛GG
05624P,永豐CU
05625P,國票MK
05626P,統一4R
05627P,95元富
05628P,96元富
05629P,97元富
05630P,CR富邦
05631P,5W凱基
05632P,5X凱基
05633P,G3中信
05634P,元大HQ
05635P,元大HR
05636P,元大HS
05637P,元大HT
05638P,A1元富
05639P,A2元富
05640P,永豐CY
05641P,永豐CZ
05642P,38群益
05643P,39群益
05644P,40群益
05645P,41群益
05646P,42群益
05647P,兆豐06
05648P,CV富邦
05649P,G6中信
05650P,G7中信
05651P,元大IA
05652P,元大IB
05653P,國泰KX
05654P,AL亞東
05655P,AM亞東
05656P,A8元富
05657P,永豐DH
05658P,永豐DI
05659P,日盛GP
05660P,G9中信
05661P,元大IK
05662P,元大IL
05663P,元大IM
05664P,元大IN
05665P,國泰LA
05666P,6B凱基
05667P,56群益
05668P,57群益
05669P,58群益
05670P,59群益
05671P,61群益
05672P,65群益
05673P,永豐DS
05674P,永豐DT
05675P,統一5A
05676P,B6元富
05677P,B7元富
05678P,B8元富
05679P,兆豐15
05680P,兆豐16
05681P,DE富邦
05682P,DF富邦
05683P,元大IV
05684P,元大IW
05685P,康和JK
05686P,康和JL
05687P,統一5G
05688P,永豐EB
05689P,永豐EC
05690P,永豐ED
05691P,日盛GV
05692P,AX亞東
05693P,AY亞東
05694P,AZ亞東
05695P,DK富邦
05696P,69群益
05697P,70群益
05698P,H2中信
05699P,元大JC
05700P,日盛GZ
05701P,DP富邦
05702P,AE兆豐
05703P,AF兆豐
05704P,AG兆豐
05705P,AM兆豐
05706P,統一5N
05707P,C8元富
05708P,C9元富
05709P,D1元富
05710P,元大JI
05711P,元大JJ
05712P,元大JK
05713P,元大JL
05714P,元大JQ
05715P,H5中信
05716P,H6中信
05717P,77群益
05718P,78群益
05719P,80群益
05720P,BD亞東
05721P,BE亞東
05722P,AW兆豐
05723P,AX兆豐
05724P,AY兆豐
05725P,康和JM
05726P,康和JU
05727P,統一5W
05728P,D6元富
05729P,日盛HJ
05730P,H7中信
05731P,永豐ET
05732P,國泰LF
05733P,元大JV
05734P,元大JW
05735P,BH亞東
05736P,7L凱基
05737P,7M凱基
05738P,7N凱基
05739P,7P凱基
05740P,國票MV
05741P,國票MW
05742P,國票MX
05743P,國票MY
05744P,國票MZ
05745P,統一6D
05746P,E1元富
05747P,元大KG
05748P,DU富邦
05749P,H8中信
05750P,永豐EX
05751P,BT兆豐
05752P,BU兆豐
05753P,工銀69
05754P,工銀70
05755P,工銀71
05756P,工銀72
05757P,7R凱基
05758P,日盛HS
05759P,日盛HT
05760P,J1中信
05761P,J2中信
05762P,7Y凱基
05763P,7Z凱基
05764P,EC富邦
05765P,ED富邦
05766P,EE富邦
05767P,EF富邦
05768P,統一6P
05769P,F2元富
05770P,F3元富
05771P,F4元富
05772P,元大KL
05773P,J5中信
05774P,J6中信
05775P,7X凱基
05776P,EJ富邦
05777P,EK富邦
05778P,91群益
05779P,92群益
05780P,95群益
05781P,96群益
05782P,98群益
05783P,國票NC
05784P,統一6U
05785P,元大KM
05786P,元大KN
05787P,元大KP
05788P,永豐FB
05789P,F7元富
05790P,F8元富
05791P,F9元富
05792P,8E凱基
05793P,8F凱基
05794P,日盛JC
05795P,日盛JD
05796P,BQ亞東
05797P,EN富邦
05798P,1F群益
05799P,G7元富
05800P,G8元富
05801P,國泰LK
05802P,元大KT
05803P,元大KU
05804P,元大KV
05805P,元大KW
05806P,日盛JG
05807P,日盛JH
05808P,統一7C
05809P,統一7D
05810P,統一7E
05811P,元大LD
05812P,CH兆豐
