文件更新,2014-02-24 01:13:46,x,x
證期會代碼,公司簡稱,分類代碼,分類名稱
709352,國票SG,WW,認購售權證
709353,康和XM,WW,認購售權證
709354,康和XN,WW,認購售權證
709355,統一ZB,WW,認購售權證
709356,統一ZC,WW,認購售權證
709357,凱基SN,WW,認購售權證
709358,凱基SP,WW,認購售權證
709359,UH群益,WW,認購售權證
70935P,元大SP,WW,認購售權證
709360,UJ群益,WW,認購售權證
709361,UK群益,WW,認購售權證
709362,UL群益,WW,認購售權證
709363,元大RV,WW,認購售權證
709364,元大RW,WW,認購售權證
709365,元富PM,WW,認購售權證
709366,元富PN,WW,認購售權證
709367,元富PP,WW,認購售權證
709368,國泰QG,WW,認購售權證
709369,康和XP,WW,認購售權證
70936P,VJ群益,WW,認購售權證
709370,凱基SQ,WW,認購售權證
709371,富邦WU,WW,認購售權證
709372,中信PL,WW,認購售權證
709373,元大RZ,WW,認購售權證
709374,元富PQ,WW,認購售權證
709375,日盛PR,WW,認購售權證
709376,永豐VB,WW,認購售權證
709377,永豐VD,WW,認購售權證
709378,兆豐ZN,WW,認購售權證
709379,康和XQ,WW,認購售權證
70937P,元大SQ,WW,認購售權證
709380,統一ZD,WW,認購售權證
709381,凱基SR,WW,認購售權證
709382,凱基SS,WW,認購售權證
709383,UN群益,WW,認購售權證
709384,UP群益,WW,認購售權證
709385,UQ群益,WW,認購售權證
709386,元大SA,WW,認購售權證
709387,元大SB,WW,認購售權證
709388,日盛PV,WW,認購售權證
709389,永豐VE,WW,認購售權證
70938P,元富QA,WW,認購售權證
709390,永豐VF,WW,認購售權證
709391,國泰QH,WW,認購售權證
709392,國泰QJ,WW,認購售權證
709393,國泰QL,WW,認購售權證
709394,統一ZE,WW,認購售權證
709395,凱基ST,WW,認購售權證
709396,富邦WV,WW,認購售權證
709397,US群益,WW,認購售權證
709398,UT群益,WW,認購售權證
709399,元富PS,WW,認購售權證
70939P,元大SS,WW,認購售權證
709400,日盛PW,WW,認購售權證
709401,國泰QM,WW,認購售權證
709402,國泰QN,WW,認購售權證
709403,國票SH,WW,認購售權證
709404,統一ZF,WW,認購售權證
709405,UU群益,WW,認購售權證
709406,元富PT,WW,認購售權證
709407,永豐VH,WW,認購售權證
709408,兆豐ZQ,WW,認購售權證
709409,國票SK,WW,認購售權證
70940P,元富QG,WW,認購售權證
709410,凱基SV,WW,認購售權證
709411,凱基SW,WW,認購售權證
709412,凱基SX,WW,認購售權證
709413,凱基SY,WW,認購售權證
709414,凱基SZ,WW,認購售權證
709415,凱基TA,WW,認購售權證
709416,凱基TB,WW,認購售權證
709417,凱基TC,WW,認購售權證
709418,UW群益,WW,認購售權證
709419,UX群益,WW,認購售權證
70941P,元大SX,WW,認購售權證
709420,UY群益,WW,認購售權證
709421,大眾VN,WW,認購售權證
709422,中信PM,WW,認購售權證
709423,元大SE,WW,認購售權證
709424,元大SF,WW,認購售權證
709425,元大SG,WW,認購售權證
709426,永豐VJ,WW,認購售權證
709427,國票SL,WW,認購售權證
709428,統一ZG,WW,認購售權證
709429,凱基TD,WW,認購售權證
70942P,日盛QJ,WW,認購售權證
709430,中信PN,WW,認購售權證
709431,元大SH,WW,認購售權證
709432,元富PU,WW,認購售權證
709433,元富PV,WW,認購售權證
709434,元富PW,WW,認購售權證
709435,元富PX,WW,認購售權證
709436,日盛PX,WW,認購售權證
709437,永豐VK,WW,認購售權證
709438,永豐VL,WW,認購售權證
709439,永豐VM,WW,認購售權證
70943P,兆豐PB,WW,認購售權證
709440,國泰QP,WW,認購售權證
709441,凱基TE,WW,認購售權證
709442,凱基TF,WW,認購售權證
709443,凱基TG,WW,認購售權證
